DonorID,DonorName,RecipID,RecipName,dontot,pctgiventopacs,pctgiventoall
30270,MAPE-PAC,30634,Greater Minnesota Votes,"$1,000.00 ",1.859851279,0.242855353
30270,MAPE-PAC,40295,Friends of DFL Women,$750.00 ,1.394888459,0.182141515
30270,MAPE-PAC,41005,Edinans for Erhardt,$500.00 ,0.929925639,0.121427677
30273,Duluth Central Labor Body COPE Fund,40994,Northeast ALC PAC,"$1,314.11 ",100,32.05060352
30274,Beer PAC-Minn Beer Wholesalers Assoc,40295,Friends of DFL Women,$500.00 ,100,0.30105973
30288,Minn Police & Peace Officers Assoc Leg Fund,40295,Friends of DFL Women,$250.00 ,55.55555556,0.597371565
30288,Minn Police & Peace Officers Assoc Leg Fund,40872,Rural Minn Preservation,$200.00 ,44.44444444,0.477897252
30308,IFO Political Action Committee Fund (Inter Faculty Organization),40295,Friends of DFL Women,"$1,700.00 ",62.96296296,1.119231022
30308,IFO Political Action Committee Fund (Inter Faculty Organization),40872,Rural Minn Preservation,"$1,000.00 ",37.03703704,0.65837119
30316,IBEW 110 PAC,30331,IBEW - COPE,"$75,258.00 ",90.06677996,38.16643686
30316,IBEW 110 PAC,30625,WIN Minnesota Political Action Fund,"$5,000.00 ",5.983867493,2.535706295
30316,IBEW 110 PAC,40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$2,000.00 ",2.393546997,1.014282518
30316,IBEW 110 PAC,30617,Building Trades C1 PAC Fund,$750.00 ,0.897580124,0.380355944
30316,IBEW 110 PAC,30088,AFL-CIO Southeast Central Labor Council,$300.00 ,0.35903205,0.152142378
30316,IBEW 110 PAC,30634,Greater Minnesota Votes,$250.00 ,0.299193375,0.126785315
30325,St Paul Pipefitters Local 455 PAC,30599,Minn Pipe Trades Assn PAC Fund,"$5,677.00 ",76.95540192,4.948699844
30325,St Paul Pipefitters Local 455 PAC,40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),"$1,000.00 ",13.55564593,0.871710383
30325,St Paul Pipefitters Local 455 PAC,40872,Rural Minn Preservation,$500.00 ,6.777822963,0.435855191
30325,St Paul Pipefitters Local 455 PAC,30618,Working Families Fund,$200.00 ,2.711129185,0.174342077
30337,Health Partners Civic Affairs Council,40295,Friends of DFL Women,$250.00 ,100,1.782531194
30345,Winthrop & Weinstine PA Political Fund,40295,Friends of DFL Women,"$1,000.00 ",41.66666667,3.423411272
30345,Winthrop & Weinstine PA Political Fund,30556,St Paul Area Chamber of Commerce PAC,$650.00 ,27.08333333,2.225217327
30345,Winthrop & Weinstine PA Political Fund,41047,Pro Jobs Majority,$500.00 ,20.83333333,1.711705636
