ComID,Committee,cat1,cat2,totspend,gave to pacs,received from pacs
40094,IBEW Local #31 Volunteer COPE Fund,pac,labor,"$60,595.00",False,True
40825,GREAT (Great River Energy Action Team-State),pac,biz,"$60,000.00",False,True
40268,womenwinning State PAC,pac,prodfl,"$59,900.00",True,False
30557,NAIOP Economic Growth Fund,pac,biz,"$59,750.00",True,True
70035,NRA Political Victory Fund,pac,issue,"$59,705.85",False,False
41021,VOICES of Conservative Women State PAC (VOICESPAC),pac,prorpm,"$59,204.39",True,True
40789,Minn Power PAC,pac,biz,"$58,780.00",False,True
30098,Minn Professional Fire Fighters PAC,pac,labor,"$58,176.67",False,True
40666,Minn Manufactured Home PAC,pac,biz,"$57,120.00",False,True
30123,Minneapolis Retired Police Assoc Political Fund,pac,labor,"$53,975.00",False,True
70022,Minn Soybean PAC,pac,biz,"$53,325.00",False,False
30127,Minn Cable Comm Assoc - PAC,pac,biz,"$52,745.00",False,False
40069,Northwest Petroleum NPPAC,pac,biz,"$52,620.00",False,True
30606,UNITE HERE TIP State and Local Fund-MN,pac,labor,"$52,500.00",False,True
30236,IBEW Local 343 Political Education Fund (fka Electr Loc 343 IBEW Ed Fd),pac,labor,"$51,710.88",False,True
30584,Best & Flanagan Political Fund,pac,lawyers,"$51,537.50",False,True
40098,Road PAC of Minn,pac,biz,"$50,798.22",True,True
30587,Goff Public PAC,pac,biz,"$50,550.00",False,True
41005,Edinans for Erhardt,pac,candidate,"$49,961.94",True,True
40790,St Paul Regional Labor Federation AFL-CIO (fka St Pl Trds & Lbr Asmbly PAC),pac,labor,"$49,729.01",True,True
70010,MABC PAC,pac,,"$47,535.88",False,True
30012,Minneapolis Bldg & Construct Trades Council,pac,labor,"$46,548.80",True,True
30288,Minn Police & Peace Officers Assoc Leg Fund,pac,labor,"$46,535.25",True,True
70024,Aging Services of Minn (fka MHHA PAC),pac,biz,"$46,500.00",False,False
41092,Progressive Kick IE,pac,prodfl,"$46,119.07",False,True
30151,Retired Peoples Political Action Fund,pac,labor,"$46,000.00",False,False
30634,Greater Minnesota Votes,pac,,"$45,921.19",True,False
40889,Leech Lake PAC,pac,indian,"$45,621.78",False,True
80020,Sierra Club Political Committee,pac,issue,"$44,924.72",False,True
30637,Somali Action Alliance Political Fund,pac,issue,"$44,374.96",True,False
30327,Lower Sioux Political Education Fund,pac,indian,"$43,374.00",False,False
40562,Minn Physical Therapy PAC,pac,biz,"$43,300.00",False,False
40970,Grand Portage PAC,pac,indian,"$42,650.00",False,False
30074,Amalgamated Transit Union Local 1005,pac,labor,"$41,933.12",False,True
30195,MN Retailers IMPACT (fka Mn Retail Pol Advocacy Fd),pac,biz,"$41,075.00",True,True
70041,HRC Minnesota PAC,pac,issue,"$41,034.42",True,True
70051,Minnesotans for Racino PAC,pac,biz,"$38,625.00",False,False
30591,Minn Seasonal Recreational Property Owners PAC,pac,biz,"$37,806.79",False,True
80001,Minn Eye PAC,pac,biz,"$36,920.00",False,False
30137,BAM-PAC,pac,biz,"$36,880.00",False,False
80005,VET-PAC of Minn,pac,issue,"$34,400.00",False,True
70033,OutFront Minnesota Action,pac,issue,"$34,354.12",True,True
30120,SOF-PAC,pac,,"$34,250.00",False,True
30096,Duluth FirePAC,pac,labor,"$33,677.50",True,False
30154,St Paul Firefighters Local 21 Political Action Committee,pac,labor,"$32,400.00",False,True
40543,Minn Farmers Union PAC,pac,biz,"$31,925.00",False,False
41045,Committee to Stop Wasteful Spending,pac,,"$31,883.79",True,True
40056,IFAPAC Minn,pac,,"$31,750.00",False,False
30115,Minn State MNPL,pac,,"$31,500.00",False,True
30657,Americans for Tax Reform Political Fund,pac,issue,"$30,915.00",False,False
40246,PAL 9 Natl Assoc of Letter Carriers,pac,labor,"$30,745.00",False,True
30002,Minn State Patrol Troopers Assoc,pac,labor,"$29,900.00",False,False
40837,Local Action Political Action Committee,pac,labor,"$29,591.26",True,False
80018,Clean Water Action Voter Education Project,pac,biz,"$29,313.71",False,True
30345,Winthrop & Weinstine PA Political Fund,pac,biz,"$29,210.63",False,True
30617,Building Trades C1 PAC Fund,pac,labor,"$29,050.00",True,True
40254,Minneapolis Fire Department Pensioners PCF,pac,labor,"$28,950.00",False,True
30103,Elementary Principals Action Committee,pac,,"$28,125.00",False,False
80027,Project 515 PAC,pac,issue,"$27,850.00",True,False
30083,U A Plumbers Local #34 Political Fund,pac,labor,"$27,500.00",False,True
30577,Plumbers & Steamfitters Local 11 PAC Fund,pac,labor,"$27,288.08",False,True
30647,CMVC Fund (Conservation MN Voter Center),pac,issue,"$27,177.69",True,False
41083,Count Them All Properly,pac,prorpm,"$27,000.00",False,False
30191,VOTE - 66,pac,labor,"$26,800.00",True,True
70016,MN Corn State PAC (fka MN Corn),pac,biz,"$26,720.00",False,True
40741,NFIB/MN Save Americas Free Enterprise Trust,pac,biz,"$26,262.73",False,False
40954,America Votes - Minnesota,pac,prodfl,"$26,000.00",True,True
40872,Rural Minn Preservation,pac,issue,"$25,866.47",True,False
30622,TCO Political Action Committee,pac,,"$25,000.00",False,False
70014,Insurance Federation Political Action Comm,pac,biz,"$24,175.00",True,True
40201,Minn AGPAC,pac,biz,"$23,899.70",False,True
40894,Ottertail Power PAC,pac,biz,"$22,925.00",False,True
40820,Local 851 Political Action Committee,pac,labor,"$22,864.60",False,True
30268,People in Construction Political Action Comm,pac,biz,"$21,900.00",False,False
30581,CHG PAC,pac,biz,"$21,100.00",False,False
40782,Carpenters Local 1644 PAC,pac,labor,"$21,095.56",True,True
30618,Working Families Fund,pac,,"$20,893.51",True,True
40105,Lindquist & Vennum Political Fund,pac,lawyers,"$20,820.00",False,True
80002,MSA-PAC,pac,issue,"$20,750.00",False,False
41077,Michele PAC Minnesota,pac,prorpm,"$20,500.00",False,False
40935,Friends of Minn Nurse Anesthetists,pac,,"$20,450.00",False,False
40542,Brotherhood of Locomotive Engineers & Trainmen,pac,labor,"$19,850.00",False,False
40950,Midwest Values PAC - MN,pac,prodfl,"$19,675.00",False,False
30633,OutFront MN Action Independent Expenditure Fund,pac,issue,"$19,551.13",True,False
30312,Council 65 Political Action Committee,pac,labor,"$19,430.00",False,False
30624,Larkin Hoffman Political Fund,pac,lawyers,"$19,250.00",False,False
41088,A Stronger Minnesota,pac,prorpm,"$18,827.55",False,False
80022,MPS PAC,pac,,"$18,650.00",False,False
30033,Plumbers Local Union #15 COPE Account,pac,labor,"$18,517.00",False,True
30234,Sprinkler Fitters Local Union No 417,pac,labor,"$18,369.00",False,True
40016,PharmPAC,pac,biz,"$18,300.00",False,False
30552,NARAL Pro-Choice Minn Election Fund,pac,issue,"$18,178.59",True,True
30571,Plumbers & Pipefitters Local #589 Pol Action Comm,pac,labor,"$18,088.28",False,True
30016,Firefighters Assoc of Mpls Political Fund,pac,labor,"$17,550.00",False,True
40491,D&T Better Government Committee,pac,biz,"$17,177.84",False,True
30619,Federal Express Minn State Fund,pac,biz,"$16,900.00",False,True
30568,Rice Michels & Walther LLP Political Fund,pac,biz,"$16,896.02",False,True
70052,SMART PAC,pac,biz,"$16,500.00",False,False
41093,America Votes Action Fund - Minnesota,pac,prodfl,"$15,875.62",True,False
30337,Health Partners Civic Affairs Council,pac,biz,"$14,025.00",False,True
40996,Leaders Aligned for Health Care,pac,,"$13,750.00",False,True
40994,Northeast ALC PAC,pac,labor,"$13,215.35",True,True
30583,Carpenters Local #606 PAC,pac,labor,"$13,100.00",False,False
30609,East Metro ASC LLC PAC (fka Minn Ambulatory Surgery Center Assoc),pac,biz,"$13,000.00",False,False
30626,East Central MN Area Labor Council COPE,pac,labor,"$12,788.60",False,True
30556,St Paul Area Chamber of Commerce PAC,pac,biz,"$12,616.67",True,True
30640,Dominium Political Fund,pac,,"$12,550.00",False,True
80029,Minneapolis Police Fraternal Association,pac,labor,"$12,050.00",False,False
30642,Carpenters Local 322,pac,labor,"$11,880.00",False,False
40981,Progressive Majority Minnesota,pac,prodfl,"$11,689.66",True,True
30592,Carpenters Local Union 361 Pol Fund,pac,labor,"$11,490.00",True,False
40725,Gray Plant Mooty Mooty & Bennett Independent PAC,pac,lawyers,"$11,400.00",False,True
40537,Waste Management PAC of Minn,pac,biz,"$11,250.00",False,False
40907,Motorcycle PAC of Minn,pac,issue,"$11,200.00",False,False
40123,Minn Service Station Assoc,pac,biz,"$10,700.00",False,True
70050,MN HomeCare PAC,pac,biz,"$10,600.00",False,False
30088,AFL-CIO Southeast Central Labor Council,pac,labor,"$10,460.96",True,True
40810,Twin Cities Republican Assn,pac,prorpm,"$10,200.00",False,False
40915,Duluth Active & Retired Teachers Group,pac,labor,"$10,000.00",False,False
