ComID,Committee,ComShort,cat1,cat2,totspend,totspendout,IE,givingtot,topac,todem,torep,toballot,receivedtot,frompac,fromdem,fromrep,fromother
30098,Minn Professional Fire Fighters PAC,MN Prof Fire Fighters,pac,labor,58176.67,51976.7,,58176.7,6200.0,41026.7,10950.0,,68533.2,,,,68533.2
70006,Minn Realtors Political Action Committee,MN Realtors,pac,biz,380495.43,379995.4,13945.4,366550.0,500.0,181050.0,185000.0,,325044.3,,,,325044.3
30591,Minn Seasonal Recreational Property Owners PAC,,pac,,37806.79,36806.8,1256.8,36550.0,1000.0,25950.0,9600.0,,250.0,,,,250.0
70030,Minn Service Cooperatives PAC,,pac,,1000,1000.0,,1000.0,,500.0,500.0,,350.0,,,,350.0
40123,Minn Service Station Assoc,,pac,,10700,10450.0,,10700.0,250.0,5900.0,4550.0,,9608.6,,300.0,,9308.6
41060,Minn Solutions,,pac,,0,0.0,,,,,,,2080.4,,,2080.4,
70022,Minn Soybean PAC,MN Soybean,pac,biz,53325,53325.0,,53325.0,,22150.0,31175.0,,24726.0,,,,24726.0
30060,Minn State Council of UNITE HERE Unions,UNITE HERE,pac,labor,256553.59,215850.0,,256553.6,40703.6,212850.0,,3000.0,188900.0,37500.0,,,151400.0
30115,Minn State MNPL,,pac,,31500,20500.0,,31500.0,11000.0,20000.0,,500.0,1400.0,,,,1400.0
30002,Minn State Patrol Troopers Assoc,,pac,,29900,29900.0,,29900.0,,21400.0,8500.0,,12000.0,,,,12000.0
40919,Minn Thoroughbred Assn PAC Fund,,pac,,1950,1950.0,,1950.0,,250.0,1700.0,,2750.0,,,,2750.0
40756,Minn TruckPAC (fka Minn Trucking Assn State PAC),MN Truck,pac,biz,151300.88,121050.9,24725.9,126575.0,30250.0,35900.0,60425.0,,174228.0,,,,174228.0
40494,Minn Wheat Political Action Committee,,pac,,8825,8825.0,,8825.0,,4100.0,4725.0,,1262.5,,,,1262.5
40041,Minn Women's Political Caucus/PAC,,pac,,0,0.0,,,,,,,700.1,,,,700.1
41072,Minn Young DFL,MN Young DFL,pac,prodfl,0,0.0,,,,,,,6258.1,2000.0,3499.1,,759.0
30012,Minneapolis Bldg & Construct Trades Council,Mpls Bldg & Const Trades,pac,labor,46548.8,45548.8,,46548.8,1000.0,44248.8,1300.0,,1500.0,1500.0,,,
41084,Minneapolis Democrats for Truth,Mpls Dems for Truth,pac,prodfl,2031.26,2031.3,2031.3,,,,,,2958.5,2958.5,,,
70017,Minneapolis Downtown Council PAC,Mpls Downtown Council,pac,biz,2100,2100.0,,2100.0,,2100.0,,,12150.0,300.0,,,11850.0
40254,Minneapolis Fire Department Pensioners PCF,,pac,labor,28950,25950.0,,28950.0,3000.0,19800.0,6150.0,,,,,,
30031,Minneapolis Firefighters Fraternal Assn (fka Relief Assn Pol Fund),Mpls Firefighters,pac,labor,221862.21,215862.2,3607.2,218255.0,6000.0,140705.0,71550.0,,21250.0,,,,21250.0
30007,Minneapolis Municipal Retirement Assoc,Mpls Mun Retirement,pac,,187000,185500.0,,187000.0,1500.0,121500.0,64000.0,,,,,,
80029,Minneapolis Police Fraternal Association,,pac,labor,12050,12050.0,,12050.0,,8600.0,3450.0,,31142.2,,,,31142.2
30128,Minneapolis Police Relief Assoc,Mpls Police Relief,pac,labor,68856.59,67356.6,3606.6,65250.0,1500.0,44450.0,19300.0,,47888.0,,,,47888.0
70045,Minneapolis Regional Chamber of Commerce PAC,,pac,,0,0.0,,,,,,,2100.0,,,,2100.0
30011,Minneapolis Regional Labor Federation,Mpls Reg Labor,pac,labor,343185.3,328685.3,32013.3,311172.0,14500.0,285622.0,800.0,10250.0,590589.4,126956.0,8572.0,,455061.4
30123,Minneapolis Retired Police Assoc Political Fund,Mpls Retired Police,pac,labor,53975,53725.0,,53975.0,250.0,36375.0,17350.0,,40000.0,,,,40000.0
30632,Minnesota - America Votes,MN-America Votes,pac,ie,109432.93,109432.9,109432.9,,,,,,186984.7,,,,186984.7
41051,Minnesota Future LLC,MN Future LLC,pac,ie,1346396.63,116492.0,116492.0,1229904.6,1229904.6,,,,2329000.0,5000.0,,,2324000.0
30650,Minnesota Momentum,,pac,ie,2232.26,2232.3,2232.3,,,,,,5721.8,,,,5721.8
41087,Minnesota PAC,,pac,,5925,5925.0,,5925.0,,,5925.0,,8662.0,,,150.0,8512.0
40995,Minnesotans for Limited Government,,pac,,5912,5912.0,2012.0,3900.0,,,3900.0,,125.0,,,,125.0
40875,Minnesotans for Lower Taxes,,pac,issue,2450,2450.0,,2450.0,,,2450.0,,,,,,
41034,Minnesotans for Personal Choice & Competition in Health Care,,pac,ie,0,0.0,,,,,,,14330.0,,,,14330.0
70051,Minnesotans for Racino PAC,Minnesotans for Racino,pac,,38625,38625.0,,38625.0,,4025.0,34600.0,,38450.0,,,,38450.0
40989,Minnesota's Future,Minnesota's Future,pac,ie,2575655.13,2570655.1,2570655.1,5000.0,5000.0,,,,3455409.5,1352167.5,,263242.0,1840000.0
80017,MMGMA PAC,,pac,,5200,5200.0,,5200.0,,2850.0,2350.0,,200.0,,,,200.0
70016,MN Corn State PAC (fka MN Corn),MN Corn,pac,biz,26720,26220.0,,26720.0,500.0,12020.0,14200.0,,20086.0,,,,20086.0
41035,MN FORWARD,MN FORWARD,pac,ie,1413096.34,1413096.3,1413096.3,,,,,,1841729.8,101000.0,,,1740729.8
70050,MN HomeCare PAC,,pac,,10600,10600.0,,10600.0,,7100.0,3500.0,,16978.8,,,,16978.8
30195,MN Retailers IMPACT (fka Mn Retail Pol Advocacy Fd),MN Retailers,pac,biz,41075,15075.0,,41075.0,26000.0,4550.0,10525.0,,30896.4,450.0,,,30446.4
30608,MN State Bldg & Construction Trades Cncl Pol Fund,MN State Bld & Constr,pac,labor,162194.44,153194.4,20538.5,141656.0,9000.0,130356.0,2300.0,,208242.9,22922.4,,,185320.4
80010,MN Utility Investors Pol Action Fund,,pac,,1950,1950.0,,1950.0,,350.0,1600.0,,1450.0,1450.0,,,
40940,MOHPA PAC,MOHPA,pac,biz,349069.76,348819.8,5669.8,343400.0,250.0,132700.0,210450.0,,341825.0,2000.0,,,339825.0
40907,Motorcycle PAC of Minn,,pac,,11200,11200.0,,11200.0,,5850.0,5350.0,,,,,,
41040,MPA Political Action Committee,,pac,,1700,1700.0,,1700.0,,1200.0,500.0,,2800.0,,,,2800.0
80022,MPS PAC,MPS,pac,,18650,18650.0,,18650.0,,9550.0,9100.0,,11750.0,,,,11750.0
80002,MSA-PAC,,pac,,20750,20750.0,,20750.0,,9000.0,11750.0,,13850.0,,,,13850.0
30324,MSCA-PAC,,pac,,3450,3450.0,,3450.0,,1050.0,2400.0,,400.0,,,,400.0
30108,MTA PAC (fka SITCO PAC),MTA,pac,biz,119975,119975.0,,119975.0,,54025.0,65950.0,,113130.0,,,,113130.0
80007,MUCA PAC (Minn Utility Contractors Assn),,pac,,500,500.0,,500.0,,500.0,,,1250.0,,,,1250.0
30124,Multi Housing Political Action Committee,Multi Housing,pac,biz,264850,263450.0,,264850.0,1400.0,130025.0,133425.0,,304276.3,10000.0,,,294276.3
80006,MWL Voter Outreach Political Fund,,pac,,1017.66,1017.7,1017.7,,,,,,728.6,,,,728.6
30557,NAIOP Economic Growth Fund,NAIOP Econ Growth,pac,biz,59750,16750.0,,59750.0,43000.0,2000.0,14750.0,,60553.0,1250.0,,,59303.0
30552,NARAL Pro-Choice Minn Election Fund,NARAL Pro-Choice,pac,issue,18178.59,15978.6,14828.6,3350.0,2200.0,1150.0,,,13521.0,8000.0,,,5521.0
30638,NARAL Pro-Choice Minnesota,NARAL Pro-Choice MN,pac,ie,7876.84,7876.8,7876.8,,,,,,4240.0,4240.0,,,
30656,National Assn of Realtors Fund,Natl Assn Realtors,pac,ie,95179.55,95179.6,95179.6,,,,,,95179.6,,,,95179.6
41080,New Americans,New Americans,pac,,0,0.0,,,,,,,5349.3,2000.0,1343.3,,2006.0
30659,Next Minnesota Inc,,pac,,6106.24,6106.2,6106.2,,,,,,3000.0,,,,3000.0
40741,NFIB/MN Save Americas Free Enterprise Trust,,pac,,26262.73,26262.7,3806.0,22456.8,,1750.0,20706.8,,27200.0,,,,27200.0
30561,North Central States Carpenters PAC,N Central St Carpenters,pac,labor,680014.93,654285.1,22638.6,657376.4,25729.9,545316.5,85830.0,500.0,19261.1,17811.1,,,
41081,North Star Project,,pac,,150,150.0,,150.0,,150.0,,,400.0,,,,400.0
41023,North Star SFAA-PAC,North Star SFAA,pac,,91905,89655.0,2605.0,89300.0,2250.0,22750.0,64300.0,,165562.5,,,,165562.5
40994,Northeast ALC PAC,Northeast ALC,pac,labor,13215.35,12485.5,513.0,12702.4,729.9,11972.5,,,93386.2,24214.4,,,69171.9
